Timestamp,Grade,Gender,How enjoyable was the Science on the Court program?,How effective was the balance between classroom learning and basketball activities?,How helpful were the hands-on experiments and basketball drills in helping you improve in basketball or STEM?,"After this program, how much better do you understand the following? [Robotics (building and programming)]","After this program, how much better do you understand the following? [Math concepts (measurement, data, ratios, equations)]","After this program, how much better do you understand the following? [Physics concepts (motion, speed, energy)]",I used math or science to solve real problems during the program.,How often did you do the following during the program? [Tried again after making a mistake],How often did you do the following during the program? [Math],How often did you do the following during the program? [Explained your thinking or solution to others],"Do you think there are scientists, engineers, or inventors who come from the same kind of background as you?",Does seeing people like you in STEM make you more interested in it?,How has your interest in STEM fields and basketball changed due to your participation in the program?,"Overall, how effective were the instructors in enhancing your learning experience?",Did you feel prepared to explain the final robot project to others?,Would you recommend this program to a friend,What was your favorite activity and why?,What would you change about the program to make it more enjoyable AND improve how much students learn?,Any final comments for the instructors or program sponsors?
5/21/2025 14:42:04,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Always,Sometimes,Often,Always,Yes,Maybe,Somewhat increased,Very effective,Very prepared,Yes,soccer,barcelona,barcelona
5/21/2025 14:43:00,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Somewhat better,Much better,Often,Often,Sometimes,Always,Yes,Maybe,Significantly increased,Very effective,Somewhat prepared,Maybe,my favorute activty was the stem tournament,give out more prizes,no
5/21/2025 14:43:31,6th,Male,Somewhat enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Often,Often,Always,Often,Not sure,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,barca,barca,barcaaaa
5/21/2025 14:44:10,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Much better,Always,Always,Often,Sometimes,Yes,Yes,Significantly increased,Somewhat effective,Somewhat prepared,Maybe,shooting,more basketball stuff,no
5/21/2025 14:45:36,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Sometimes,Always,Often,Sometimes,Yes,Yes,Somewhat increased,Very effective,Very prepared,Yes,feild trips,I would make it on the field for soccer,no
5/21/2025 14:46:13,7th,Male,Very enjoyable,Very effective,Somewhat effective,Much better,Neutral,Much better,Sometimes,Often,Often,Always,Yes,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,my favorite activity was the final competition because it was harder code making it more rewarding after figuring out the solution.,i would not change anything because in my opinion its helped me improve basketball and robotics.,no
5/22/2025 14:29:29,6th,Male,Very enjoyable,Somewhat effective,Very effective,Much better,Much better,Neutral,Always,Often,Sometimes,Always,Yes,Yes,Somewhat increased,Very effective,Very prepared,Yes,Robots ONLY Basketball sucks,NO Basketball Also include the extension packs for the robotics,Can you please include a robot kit+expansion for a reward.
5/22/2025 14:30:11,7th,Male,Very enjoyable,Somewhat effective,Somewhat effective,Much better,Much better,Somewhat better,Often,Often,Always,Sometimes,Yes,Maybe,Significantly increased,Very effective,Very prepared,Maybe,Tesla field trip,,
5/22/2025 14:31:38,7th,Male,Neutral,Very effective,Very effective,Neutral,Much better,Somewhat better,Sometimes,Always,Often,Always,Yes,Yes,Somewhat increased,Very effective,Very prepared,Maybe,"Basketball field trips because we got to play basketball against others,","Have more basketball time, and activities that directly correlate with one another. ",no
5/22/2025 14:32:28,7th,Male,Very enjoyable,Very effective,Very effective,Somewhat better,Much better,Much better,Often,Often,Always,Sometimes,Yes,Maybe,Somewhat increased,Very effective,Somewhat prepared,Yes,My favorite activity was when we went to tesla because we got to get hot chocolate,I wouldn't change anything about the program because it's good,Nah
5/22/2025 14:35:20,6th,Male,Somewhat enjoyable,Very effective,Very effective,Much better,Much better,Neutral,Sometimes,Often,Always,Always,Yes,Maybe,Significantly increased,Very effective,Somewhat prepared,Yes,My favorite activity is when we build the robot to make the backskect,playing basketball more,are we going to play basketball games to win prizes
5/22/2025 14:35:20,8th,Male,Very enjoyable,Somewhat effective,Somewhat effective,Much better,Somewhat better,Neutral,Always,Sometimes,Always,Often,Yes,Maybe,Somewhat increased,Very effective,Somewhat prepared,Yes,Tesla field trip because we got to go inside the factory that a lot of people don't get to do.,football version ,no
5/22/2025 14:36:37,7th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Much better,Always,Often,Sometimes,Often,Yes,Yes,Somewhat increased,Somewhat effective,Very prepared,Yes,The tesla field trip because it was really fun and it looked very interesting and it's very big and felt like a mini city.,I don't have something to change.,no
5/22/2025 14:37:07,6th,Female,Very enjoyable,Somewhat effective,Very effective,Somewhat better,Somewhat better,Much better,Often,Always,Often,Always,Yes,Yes,Significantly increased,Somewhat effective,Somewhat prepared,Maybe,"My favorite activity was the Tesla field trip because I got to get out of the environment we are in every week and it was super fun, and we got hot chocolate.",I would do more of the lessons as a whole class to keep students who are challenged up to date with the things we are learning.,Thanks for teaching me new things! (especially coding :) )
2025-06-01 0:00:00,7th,Male,Very enjoyable,Very effective,Very effective,Neutral,Much better,Much better,Often,Always,Always,Always,Yes,Yes,Somewhat increased,Very effective,Somewhat prepared,Yes,shooting,I would make it on the field for soccer,more basketball games against other schools 
2025-06-01 1:00:00,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Neutral,Often,Sometimes,Often,Often,Yes,Yes,Significantly increased,Very effective,Very prepared,Yes,my favorute activty was the stem tournament,I don't have something to change.,Nah
2025-06-01 2:00:00,8th,Male,Very enjoyable,Very effective,Very effective,Much better,Neutral,Much better,Sometimes,Sometimes,Often,Often,Yes,Yes,Significantly increased,Very effective,Very prepared,Yes,barca,I wouldn't change anything.,Nah
2025-06-01 3:00:00,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Somewhat better,Much better,Often,Often,Always,Always,Yes,Yes,Significantly increased,Very effective,Very prepared,Yes,feild trips,more basketball stuff,
2025-06-01 4:00:00,6th,Male,Very enjoyable,Neutral,Very effective,Somewhat better,Much better,Much better,Sometimes,Often,Always,Always,Not sure,Maybe,Significantly increased,Somewhat effective,Somewhat prepared,Yes,my favorute activty was the stem tournament,NO Basketball Also include the extension packs for the robotics,bring back more physics like last year 
2025-06-01 5:00:00,7th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Always,Always,Often,Sometimes,Yes,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,shooting,give out more prizes,barcaaaa
2025-06-01 6:00:00,7th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Always,Always,Always,Often,Yes,Yes,Significantly increased,Very effective,Very prepared,Yes,The tesla field trip because it was really fun and it looked very interesting and it's very big and felt like a mini city.,barca,Could there be a version of science without the sports 
2025-06-01 7:00:00,8th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Always,Always,Sometimes,Often,Yes,Yes,Somewhat increased,Very effective,Very prepared,Yes,"Basketball field trips because we got to play basketball against others,",I wouldn't change anything.,Nah
2025-06-01 8:00:00,7th,Male,Somewhat enjoyable,Very effective,Very effective,Much better,Somewhat better,Much better,Often,Always,Often,Always,Yes,Yes,Significantly increased,Very effective,Very prepared,Yes,feild trips,playing basketball more,
2025-06-01 9:00:00,6th,Male,Neutral,Somewhat effective,Very effective,Much better,Neutral,Much better,Often,Always,Always,Always,Yes,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,Tesla field trip,more basketball stuff,barcelona
2025-06-01 10:00:00,7th,Male,Very enjoyable,Very effective,Very effective,Neutral,Much better,Somewhat better,Often,Always,Often,Always,Yes,Maybe,Somewhat increased,Somewhat effective,Somewhat prepared,Yes,feild trips,I wouldn't change anything.,barcaaaa
2025-06-01 11:00:00,8th,Male,Very enjoyable,Very effective,Somewhat effective,Neutral,Much better,Somewhat better,Always,Often,Often,Often,Yes,Yes,Significantly increased,Very effective,Very prepared,Yes,my favorite activity was the final competition because it was harder code making it more rewarding after figuring out the solution.,playing basketball more,
2025-06-01 12:00:00,6th,Female,Very enjoyable,Very effective,Somewhat effective,Somewhat better,Somewhat better,Neutral,Always,Often,Often,Often,Yes,Maybe,Somewhat increased,Very effective,Very prepared,Maybe,"Basketball field trips because we got to play basketball against others,",I would make it on the field for soccer,
2025-06-01 13:00:00,6th,Male,Very enjoyable,Neutral,Very effective,Much better,Much better,Somewhat better,Often,Sometimes,Sometimes,Often,Yes,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,My favorite activity was when we went to tesla because we got to get hot chocolate,playing basketball more,more tournaments against other schools 
2025-06-01 14:00:00,8th,Male,Very enjoyable,Very effective,Very effective,Somewhat better,Much better,Somewhat better,Often,Sometimes,Often,Sometimes,Not sure,Maybe,Somewhat increased,Somewhat effective,Very prepared,Yes,shooting,learn how to make video games ,more trips please
2025-06-01 15:00:00,8th,Male,Very enjoyable,Somewhat effective,Somewhat effective,Somewhat better,Much better,Much better,Often,Always,Often,Always,Not sure,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,get better at basketball ,more basketball stuff,no
2025-06-01 16:00:00,7th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Much better,Always,Sometimes,Always,Always,Not sure,Yes,Significantly increased,Very effective,Very prepared,Yes,,I wouldn't change anything.,thanks for all of the snacks 
